Quarter,SP500_Idx,Quarter_Rate
1977-4,96.73999786376953,
1978-1,93.81999969482422,-0.031123408425105765
1978-2,88.45999908447266,-0.06059236565482173
1978-3,95.08999633789062,0.06972339371913622
1978-4,102.95999908447266,0.07643747879334337
1979-1,96.7300033569336,-0.06440603237188348
1979-2,100.9000015258789,0.04132802879964068
1979-3,101.98999786376953,0.010687286603795787
1979-4,108.55999755859375,0.06051952692130591
1980-1,105.76000213623047,-0.026474994003466267
1980-2,102.18000030517578,-0.035036228423981984
1980-3,114.93000030517578,0.11093709184847025
1980-4,127.12999725341797,0.09596473854965165
1981-1,136.33999633789062,0.06755170406230296
1981-2,136.57000732421875,0.0016841983890509451
1981-3,129.77000427246094,-0.05240042250041654
1981-4,117.08000183105469,-0.10838744655742148
1982-1,122.73999786376953,0.04611370483317863
1982-2,113.79000091552734,-0.07865363279930254
1982-3,108.70999908447266,-0.04672984889924701
1982-4,121.97000122070312,0.10871527427663683
1983-1,138.33999633789062,0.11833161450434303
1983-2,153.02000427246094,0.09593522104751553
1983-3,168.63999938964844,0.09262331103961269
1983-4,165.80999755859375,-0.017067739416946948
1984-1,164.0399932861328,-0.010790077693880067
1984-2,157.97999572753906,-0.03835927156907355
1984-3,153.1999969482422,-0.031201037039914382
1984-4,164.6199951171875,0.06937187770425941
1985-1,165.3699951171875,0.004535284647426647
1985-2,181.27000427246094,0.08771450753305363
1985-3,192.42999267578125,0.05799505704977809
1985-4,185.07000732421875,-0.039768655429233093
1986-1,209.58999633789062,0.11699026404934881
1986-2,235.13999938964844,0.10865868469030285
1986-3,252.0399932861328,0.0670528263238698
1986-4,233.60000610351562,-0.0789382992329454
1987-1,246.4499969482422,0.05214035708600651
1987-2,292.3800048828125,0.15709011275575877
1987-3,302.94000244140625,0.0348583794595969
1987-4,327.3299865722656,0.07451191498300057
1988-1,255.94000244140625,-0.2789324976551998
1988-2,256.0899963378906,0.0005857077536385679
1988-3,271.7799987792969,0.057730526572514845
1988-4,271.3800048828125,-0.0014739254524558678
1989-1,275.30999755859375,0.014274791001532143
1989-2,296.3900146484375,0.07112256165190914
1989-3,319.2300109863281,0.07154714642060646
1989-4,350.8699951171875,0.09017580463183207
1990-1,359.69000244140625,0.024521135601080643
1990-2,338.70001220703125,-0.06197221575990028
1990-3,359.5400085449219,0.057962941098631086
1990-4,314.94000244140625,-0.14161429401720202
1991-1,326.45001220703125,0.03525810793453262
1991-2,371.29998779296875,0.12079175076877505
1991-3,377.9200134277344,0.01751700200982212
1991-4,389.20001220703125,0.028982524217642077
1992-1,417.260009765625,0.06724823108343178
1992-2,404.2300109863281,-0.032234120241353324
1992-3,412.8800048828125,0.020950382179295648
1992-4,416.2900085449219,0.008191413659022281
1993-1,435.3800048828125,0.04384674565619732
1993-2,450.29998779296875,0.03313342952391086
1993-3,449.0199890136719,-0.0028506498833349293
1993-4,461.2799987792969,0.02657823837597368
1994-1,465.44000244140625,0.008937787126780262
1994-2,438.9200134277344,-0.06042100656692483
1994-3,446.20001220703125,0.016315550381291892
1994-4,461.739990234375,0.03365525697580536
1995-1,459.1099853515625,-0.005728485475650413
1995-2,501.8500061035156,0.08516493022247214
1995-3,547.0900268554688,0.08269209550753649
1995-4,581.719970703125,0.05953026471791751
1996-1,620.72998046875,0.06284537720598936
1996-2,653.72998046875,0.050479557288068244
1996-3,675.8800048828125,0.032772125605199674
1996-4,689.0800170898438,0.019155993323936724
1997-1,737.010009765625,0.06503302810096619
1997-2,759.6400146484375,0.029790432897726826
1997-3,891.030029296875,0.1474585707870242
1997-4,955.4099731445312,0.06738462613673916
1998-1,975.0399780273438,0.020132512845808668
1998-2,1108.1500244140625,0.12011915666121206
1998-3,1148.56005859375,0.035183213866207305
1998-4,986.3900146484375,-0.1644076293727609
1999-1,1228.0999755859375,0.19681619228286198
1999-2,1293.719970703125,0.05072194648237797
1999-3,1380.9599609375,0.06317343927563975
1999-4,1282.81005859375,-0.07651164074231262
2000-1,1455.219970703125,0.11847687331151108
2000-2,1505.969970703125,0.0336992111312188
2000-3,1469.5400390625,-0.024790023185666754
2000-4,1436.22998046875,-0.02319270523992155
2001-1,1283.27001953125,-0.11919546051062026
2001-2,1145.8699951171875,-0.11990891200533677
2001-3,1236.719970703125,0.07346042575368589
2001-4,1038.550048828125,-0.19081403163825392
2002-1,1154.6700439453125,0.10056552148908712
2002-2,1146.5400390625,-0.007090903593266766
2002-3,968.6500244140625,-0.1836473547358277
2002-4,847.9099731445312,-0.14239725335669615
2003-1,909.030029296875,0.06723656445059296
2003-2,858.47998046875,-0.0588832005150819
2003-3,982.3200073242188,0.12606892451758325
2003-4,1018.219970703125,0.035257571459844546
2004-1,1108.47998046875,0.08142682895135027
2004-2,1132.1700439453125,0.02092447473173633
2004-3,1128.93994140625,-0.0028611819110934836
2004-4,1131.5,0.0022625352132125496
2005-1,1202.0799560546875,0.058714859772170204
2005-2,1172.9200439453125,-0.02486095472568681
2005-3,1194.43994140625,0.018016726262185673
2005-4,1226.699951171875,0.02629820742619806
2006-1,1268.800048828125,0.03318103407635744
2006-2,1297.81005859375,0.022353047407460358
2006-3,1280.18994140625,-0.013763674137405604
2006-4,1331.3199462890625,0.038405497510446605
2007-1,1416.5999755859375,0.0602005017412211
2007-2,1424.550048828125,0.0055807609207745665
2007-3,1519.4300537109375,0.06244447031377652
2007-4,1547.0400390625,0.017846975291146337
2008-1,1447.1600341796875,-0.06901794032712406
2008-2,1370.1800537109375,-0.056182382935921954
2008-3,1284.9100341796875,-0.06636263805480211
