Month_year,Dividend,Bond-Income
9/30/1962,0.008851319,0.009850101
12/31/1962,0.010829122,0.009845094
3/31/1963,0.007984397,0.009282554
6/30/1963,0.007946352,0.009780676
9/30/1963,0.007465078,0.010255836
12/31/1963,0.009417493,0.010203478
3/31/1964,0.007434994,0.010391727
6/30/1964,0.007559323,0.01044205
9/30/1964,0.007029176,0.010521685
12/31/1964,0.008878786,0.010498523
3/31/1965,0.007137616,0.010352422
6/30/1965,0.00747796,0.010427959
9/30/1965,0.007390804,0.010633453
12/31/1965,0.00884033,0.010889255
3/31/1966,0.007365399,0.011262941
6/30/1966,0.007925572,0.011568278
9/30/1966,0.008383725,0.012124608
12/31/1966,0.009953899,0.011793044
3/31/1967,0.008331331,0.011281051
6/30/1967,0.007704302,0.011695131
9/30/1967,0.0075861,0.012549118
12/31/1967,0.008386421,0.013457924
3/31/1968,0.008027475,0.013448648
6/30/1968,0.007794419,0.013662629
9/30/1968,0.007647421,0.013360968
12/31/1968,0.007987315,0.013697965
3/31/1969,0.007547133,0.014378321
6/30/1969,0.007569551,0.015770941
9/30/1969,0.008252179,0.015559906
12/31/1969,0.008140131,0.016732156
3/31/1970,0.008108467,0.016457405
6/30/1970,0.009629005,0.017340946
9/30/1970,0.010130077,0.017322039
12/31/1970,0.009220389,0.016747577
3/31/1971,0.007937979,0.015355673
6/30/1971,0.007788909,0.015146612
9/30/1971,0.00788938,0.015717564
12/31/1971,0.009519175,0.014862989
3/31/1972,0.005814949,0.014660036
6/30/1972,0.00728808,0.01522447
9/30/1972,0.007205435,0.014742819
12/31/1972,0.007460572,0.014638725
3/31/1973,0.006696693,0.016118781
6/30/1973,0.007720883,0.017096495
9/30/1973,0.007883423,0.017974472
12/31/1973,0.009164529,0.017906715
3/31/1974,0.008600235,0.017522276
6/30/1974,0.009869084,0.019810243
9/30/1974,0.011716789,0.021024501
12/31/1974,0.014004645,0.019982491
3/31/1975,0.011997334,0.019495169
6/30/1975,0.010708674,0.02051772
9/30/1975,0.010237321,0.020681803
12/31/1975,0.0106127,0.020849708
3/31/1976,0.009449744,0.019818203
6/30/1976,0.009883977,0.019734917
9/30/1976,0.009785746,0.019987625
12/31/1976,0.01096735,0.019086092
3/31/1977,0.010228461,0.018242623
6/30/1977,0.012029816,0.019164028
9/30/1977,0.011701531,0.018839917
12/31/1977,0.013814215,0.018949447
3/31/1978,0.013120318,0.019949977
6/30/1978,0.013639276,0.020905661
9/30/1978,0.012687655,0.020959608
12/31/1978,0.014036411,0.021396738
3/31/1979,0.01350776,0.021983682
6/30/1979,0.014156061,0.022594959
9/30/1979,0.013649093,0.021840924
12/31/1979,0.01416634,0.024939494
3/31/1980,0.013466679,0.02686024
6/30/1980,0.014732216,0.027524179
9/30/1980,0.013131737,0.026438956
12/31/1980,0.01213165,0.029925984
3/31/1981,0.012004005,0.029588821
6/30/1981,0.012534305,0.031694913
9/30/1981,0.013240387,0.033639214
12/31/1981,0.013993229,0.033453479
3/31/1982,0.014151802,0.033814856
6/30/1982,0.015718873,0.03372937
9/30/1982,0.015459206,0.032862983
12/31/1982,0.013167975,0.028068564
3/31/1983,0.011872266,0.025983697
6/30/1983,0.0112538,0.026827281
9/30/1983,0.011318251,0.028953438
12/31/1983,0.01050833,0.028597346
3/31/1984,0.011171132,0.029533762
6/30/1984,0.012320737,0.031578669
9/30/1984,0.011929582,0.031979759
12/31/1984,0.011846876,0.030024891
3/31/1985,0.011017896,0.027489574
6/30/1985,0.010953442,0.028210934
9/30/1985,0.010432967,0.026993099
12/31/1985,0.010445038,0.025847385
3/31/1986,0.009503226,0.022448712
6/30/1986,0.008674856,0.019602499
9/30/1986,0.008506895,0.019476065
12/31/1986,0.008563505,0.019910371
3/31/1987,0.007965106,0.019114375
6/30/1987,0.007812255,0.02071205
9/30/1987,0.007048085,0.022405261
12/31/1987,0.008443819,0.023407255
3/31/1988,0.008900986,0.021633148
6/30/1988,0.009770802,0.022618265
9/30/1988,0.009171887,0.023198732
12/31/1988,0.009302717,0.022264123
3/31/1989,0.008683506,0.022852532
6/30/1989,0.009429671,0.022213185
9/30/1989,0.008462569,0.020093074
12/31/1989,0.008429245,0.020147572
3/31/1990,0.008286423,0.02116443
6/30/1990,0.009622377,0.021987054
9/30/1990,0.008481492,0.021518464
12/31/1990,0.010208363,0.02251766
3/31/1991,0.008300636,0.019998679
6/30/1991,0.008685123,0.020862023
9/30/1991,0.008222947,0.021318417
12/31/1991,0.008019133,0.019539242
3/31/1992,0.007049126,0.018846584
6/30/1992,0.007907315,0.019404804
9/30/1992,0.007673687,0.018298623
12/31/1992,0.007318644,0.01819435
3/31/1993,0.006876455,0.017778994
6/30/1993,0.007469212,0.017250008
9/30/1993,0.007149855,0.016096812
12/31/1993,0.006685521,0.015776646
3/31/1994,0.00656261,0.016240919
6/30/1994,0.007602794,0.018244857
9/30/1994,0.007230604,0.018818732
12/31/1994,0.007225058,0.019754863
3/31/1995,0.006745724,0.019400669
6/30/1995,0.007106298,0.01781991
9/30/1995,0.006339125,0.016630081
12/31/1995,0.006084246,0.015764556
3/31/1996,0.005474941,0.015443834
6/30/1996,0.005816477,0.017189278
9/30/1996,0.005972111,0.018030116
12/31/1996,0.005360399,0.016719003
3/31/1997,0.004601098,0.016692894
6/30/1997,0.004957044,0.017677243
9/30/1997,0.004488087,0.016583181
12/31/1997,0.004234163,0.015588425
3/31/1998,0.003853994,0.014548009
6/30/1998,0.003808011,0.014943788
9/30/1998,0.003856322,0.014171658
12/31/1998,0.003783815,0.013186609
3/31/1999,0.003228214,0.013591254
6/30/1999,0.003200826,0.014996588
9/30/1999,0.003269396,0.015869792
