iter	Logloss
0	0.5301299805
1	0.4307206542
2	0.3386199178
3	0.2753848259
4	0.2267934932
5	0.1968323231
6	0.1749693711
7	0.1561591922
8	0.1432485592
9	0.1343160996
10	0.1262018666
11	0.1205832383
12	0.1161363439
13	0.1127814943
14	0.109641864
15	0.1074778025
16	0.1054009942
17	0.1040249611
18	0.1027602741
19	0.101843423
20	0.1010538751
21	0.1002626104
22	0.09972640791
23	0.09909880677
24	0.09850923883
25	0.09793317145
26	0.09739532971
27	0.0968919855
28	0.09643463081
29	0.09604086112
30	0.09563162067
31	0.09526986025
32	0.09500420349
33	0.09473365005
34	0.09448404759
35	0.09419323672
36	0.09397968652
37	0.09368778702
38	0.09351444527
39	0.09338340058
40	0.0931525945
41	0.0930959531
42	0.09289491087
43	0.09270305845
44	0.09250641102
45	0.09233223164
46	0.09214969112
47	0.09200640466
48	0.09182064395
49	0.09169366097
50	0.09153837891
51	0.09140646113
52	0.09118718274
53	0.09107784951
54	0.09089004307
55	0.09073771457
56	0.09056672906
57	0.0904040886
58	0.09025513142
59	0.09009643856
60	0.08998120586
61	0.08981083632
62	0.08968842634
63	0.08955646073
64	0.08948477852
65	0.08936776238
66	0.08926731857
67	0.08917429529
68	0.08905622697
69	0.08889818769
70	0.08882168933
71	0.08866035034
72	0.08853899665
73	0.08845213586
74	0.08835081697
75	0.08827184368
76	0.08818998916
77	0.08805796055
78	0.08793342044
79	0.08781470285
80	0.08773630291
81	0.08766333288
82	0.08755698419
83	0.08740471471
84	0.08732372627
85	0.08726109032
86	0.08715147686
87	0.08707028131
88	0.08691189228
89	0.08684556298
90	0.08669178277
91	0.08657588595
92	0.08652529631
93	0.0864529444
94	0.08635248553
95	0.08625282122
96	0.08613232045
97	0.08603510695
98	0.08586656609
99	0.08572208994
100	0.08562981119
101	0.08557269634
102	0.08545084103
103	0.08537520275
104	0.08529990633
105	0.08517797714
106	0.08503930856
107	0.0849236021
108	0.08481589455
109	0.08471175596
110	0.08465001807
111	0.08458959373
112	0.08455720146
113	0.08446870501
114	0.08436418742
115	0.08425391231
116	0.08417102302
117	0.08407432825
118	0.08397377411
119	0.08391448001
120	0.08378307014
121	0.08368391111
122	0.08365097783
123	0.08355761374
