iter	Passed	Remaining
419	2526	3489
420	2533	3483
421	2539	3477
422	2544	3471
423	2550	3465
424	2556	3459
425	2562	3453
426	2568	3446
427	2574	3440
428	2580	3434
429	2587	3429
430	2593	3424
431	2600	3419
432	2606	3412
433	2612	3406
434	2618	3401
435	2624	3395
436	2630	3389
437	2636	3383
438	2642	3377
439	2649	3371
440	2655	3365
441	2661	3359
442	2668	3354
443	2674	3349
444	2681	3344
445	2686	3337
446	2692	3330
447	2696	3322
448	2701	3314
449	2707	3309
450	2711	3301
451	2717	3294
452	2721	3286
453	2727	3280
454	2734	3275
455	2739	3267
456	2742	3259
457	2749	3253
458	2754	3247
459	2761	3241
460	2766	3234
461	2772	3229
462	2777	3221
463	2783	3215
464	2789	3209
465	2795	3203
466	2801	3197
467	2806	3189
468	2812	3183
469	2818	3178
470	2824	3172
471	2830	3166
472	2835	3159
473	2840	3151
474	2846	3145
475	2850	3138
476	2853	3128
477	2857	3121
478	2861	3112
479	2866	3105
480	2872	3099
481	2879	3094
482	2883	3086
483	2889	3080
484	2894	3073
485	2900	3068
486	2907	3062
487	2911	3054
488	2916	3048
489	2922	3042
490	2928	3036
491	2935	3030
492	2940	3024
493	2947	3018
494	2952	3012
495	2959	3006
496	2965	3001
497	2971	2995
498	2977	2989
499	2983	2983
500	2989	2977
501	2995	2971
502	3001	2965
503	3007	2959
504	3013	2953
505	3019	2947
506	3025	2942
507	3032	2936
508	3038	2931
509	3044	2924
510	3050	2919
511	3056	2913
512	3062	2906
513	3068	2900
514	3074	2895
515	3078	2887
516	3084	2881
517	3089	2874
518	3095	2868
519	3101	2863
520	3107	2857
521	3113	2851
522	3119	2845
523	3125	2839
524	3131	2833
525	3137	2827
526	3143	2821
527	3149	2815
528	3155	2809
529	3161	2803
530	3167	2797
531	3171	2790
532	3177	2784
533	3183	2778
534	3189	2772
535	3195	2766
536	3201	2760
537	3207	2754
538	3213	2748
539	3219	2742
540	3224	2736
541	3230	2729
542	3236	2724
543	3241	2716
544	3246	2710
545	3253	2704
546	3259	2699
547	3265	2693
548	3271	2687
549	3277	2681
550	3284	2676
551	3290	2670
552	3296	2664
553	3300	2657
554	3305	2650
555	3311	2644
556	3318	2639
557	3324	2633
558	3330	2627
559	3336	2621
560	3340	2614
561	3346	2608
562	3352	2602
563	3357	2595
564	3362	2588
565	3366	2581
566	3372	2575
567	3377	2568
568	3383	2563
569	3390	2557
570	3395	2550
571	3399	2543
572	3405	2538
573	3411	2532
574	3417	2526
575	3422	2519
576	3427	2512
577	3433	2506
578	3437	2499
579	3443	2493
580	3450	2488
581	3456	2482
582	3460	2475
583	3465	2468
584	3471	2462
585	3477	2456
586	3481	2449
587	3487	2443
588	3493	2437
589	3499	2431
590	3505	2425
591	3511	2419
592	3517	2414
593	3523	2408
594	3528	2401
595	3532	2394
596	3538	2388
597	3544	2382
598	3550	2376
599	3556	2371
600	3562	2365
601	3569	2359
602	3574	2353
603	3581	2347
604	3587	2342
605	3591	2335
606	3597	2329
607	3603	2323
608	3608	2316
609	3614	2310
610	3620	2304
611	3626	2298
612	3630	2291
613	3636	2286
614	3642	2280
615	3649	2274
616	3655	2268
617	3661	2263
618	3666	2256
619	3671	2250
620	3676	2244
621	3683	2238
622	3689	2232
623	3695	2226
624	3701	2221
625	3707	2215
626	3712	2208
627	3718	2202
628	3725	2197
629	3731	2191
630	3737	2185
631	3743	2179
632	3749	2174
633	3755	2168
634	3761	2161
635	3765	2155
636	3771	2149
637	3777	2143
638	3781	2136
639	3788	2130
640	3794	2125
641	3800	2119
642	3806	2113
643	3812	2107
644	3818	2101
645	3824	2095
646	3830	2090
647	3836	2084
648	3843	2078
649	3849	2072
650	3855	2067
651	3861	2061
652	3867	2055
653	3873	2049
654	3880	2043
655	3886	2038
656	3892	2032
657	3899	2026
658	3905	2020
659	3911	2015
660	3917	2009
661	3924	2003
662	3929	1997
663	3936	1991
664	3940	1985
665	3946	1979
666	3952	1973
667	3958	1967
668	3964	1961
669	3971	1955
670	3977	1950
671	3983	1944
672	3987	1937
673	3992	1931
674	3998	1925
675	4004	1919
676	4010	1913
677	4016	1907
678	4022	1901
679	4027	1895
680	4032	1888
681	4038	1882
682	4044	1877
683	4048	1870
684	4054	1864
685	4060	1858
686	4067	1853
687	4071	1846
688	4076	1840
689	4083	1834
690	4089	1828
691	4095	1822
692	4101	1816
693	4106	1810
694	4112	1804
695	4118	1798
696	4124	1792
697	4130	1787
698	4136	1781
699	4142	1775
700	4148	1769
701	4154	1763
702	4160	1757
703	4167	1752
704	4171	1745
705	4177	1739
706	4181	1733
707	4188	1727
708	4194	1721
709	4200	1715
710	4206	1709
711	4212	1703
712	4218	1697
713	4224	1691
714	4228	1685
715	4232	1678
716	4238	1673
717	4244	1667
