Month_year,Dividend,Bond-Total,Bond-Income
3/31/1926,0.008723217,0.024368065,0.00922116
6/30/1926,0.015455518,0.012858068,0.009134607
9/30/1926,0.012531304,0.004204658,0.009295653
12/31/1926,0.018409057,0.034352499,0.00914272
3/31/1927,0.009731337,0.042055797,0.008611575
6/30/1927,0.014078816,0.003407236,0.008181204
9/30/1927,0.010880707,0.014428441,0.008338055
12/31/1927,0.016363508,0.026950251,0.008128925
3/31/1928,0.008009681,0.007054321,0.007912772
6/30/1928,0.011213214,-0.003965582,0.00794997
9/30/1928,0.009680004,-0.018261353,0.008366211
12/31/1928,0.013668939,0.016548365,0.008605554
3/31/1929,0.00629979,-0.038556322,0.008313924
6/30/1929,0.009754865,0.022003907,0.009341893
9/30/1929,0.007571669,-0.000699357,0.009392243
12/31/1929,0.014017412,0.053264481,0.008765387
3/31/1930,0.007089102,0.015514011,0.008399391
6/30/1930,0.010488478,0.017483533,0.008266664
9/30/1930,0.010456344,0.012151515,0.008223419
12/31/1930,0.019936485,0.000726385,0.008093722
3/31/1931,0.007966295,0.0066807,0.008270682
6/30/1931,0.014804971,0.023592156,0.008041451
9/30/1931,0.012968518,-0.030980201,0.008111834
12/31/1931,0.028671465,-0.05167856,0.009353992
3/31/1932,0.010006779,0.042934258,0.009458662
6/30/1932,0.023318465,0.047213108,0.008723232
9/30/1932,0.018463849,0.054389379,0.008239512
12/31/1932,0.02569489,0.014628288,0.008055532
3/31/1933,0.01044897,-0.001810677,0.007747883
6/30/1933,0.015168177,0.032062057,0.00789767
9/30/1933,0.009692963,0.005032809,0.007707715
12/31/1933,0.016203315,-0.034885089,0.007863504
3/31/1934,0.006405819,0.054409322,0.008047435
6/30/1934,0.011624051,0.032723117,0.007443386
9/30/1934,0.011170285,-0.02234539,0.007232363
12/31/1934,0.017876207,0.033514497,0.007699661
3/31/1935,0.008855977,0.031775833,0.006857587
6/30/1935,0.013112421,0.011390391,0.006778253
9/30/1935,0.010065684,-0.007955652,0.00691588
12/31/1935,0.01297631,0.014117327,0.007041462
3/31/1936,0.008472066,0.024459284,0.007046479
6/30/1936,0.01354996,0.009736448,0.006811395
9/30/1936,0.01023551,0.013995179,0.006755146
12/31/1936,0.014745822,0.025017538,0.006649683
3/31/1937,0.007324205,-0.034115055,0.006260005
6/30/1937,0.012647365,0.007392245,0.007043438
9/30/1937,0.010916153,0.007744403,0.00707763
12/31/1937,0.022831948,0.022190506,0.007075622
3/31/1938,0.010235632,0.00724665,0.006640629
6/30/1938,0.01819428,0.025949187,0.006538194
9/30/1938,0.008245876,0.006583723,0.006468893
12/31/1938,0.010092812,0.014550939,0.006440775
3/31/1939,0.009615492,0.026608233,0.006101354
6/30/1939,0.01637309,0.026250406,0.005654613
9/30/1939,0.01120444,-0.062959776,0.005555254
12/31/1939,0.014994934,0.07310766,0.006311183
3/31/1940,0.010744436,0.018681983,0.005645584
6/30/1940,0.017511213,-0.008360725,0.005634545
9/30/1940,0.014652854,0.019118757,0.005695773
12/31/1940,0.017497746,0.030491922,0.005264205
3/31/1941,0.013901285,-0.008675696,0.005068532
6/30/1941,0.022390835,0.022384672,0.004957167
9/30/1941,0.015648901,0.00279729,0.004786616
12/31/1941,0.021135316,-0.006908799,0.004703343
3/31/1942,0.013757444,0.01731388,0.006084283
6/30/1942,0.023222142,0.004875382,0.006075253
9/30/1942,0.014125043,0.005851427,0.006123454
12/31/1942,0.018385477,0.003818201,0.006164622
3/31/1943,0.011539281,0.00364972,0.00602705
6/30/1943,0.015480758,0.011735408,0.006100354
9/30/1943,0.011042844,0.003081002,0.00613952
12/31/1943,0.015331931,0.002244774,0.006197758
3/31/1944,0.011036086,0.007407811,0.006141525
6/30/1944,0.015911047,0.004902929,0.00614654
9/30/1944,0.010993817,0.007746674,0.006197758
12/31/1944,0.014124028,0.007799875,0.006145545
3/31/1945,0.010312559,0.02251595,0.005974835
6/30/1945,0.012996347,0.038988159,0.005724888
9/30/1945,0.010107192,-0.000632904,0.005493023
12/31/1945,0.010838523,0.042981703,0.005478968
3/31/1946,0.008870771,0.006732821,0.004820719
6/30/1946,0.010168936,-0.007843606,0.005034419
9/30/1946,0.009019344,-0.016021322,0.005403699
12/31/1946,0.013539066,0.016430994,0.005488006
3/31/1947,0.010960267,0.003463629,0.005233093
6/30/1947,0.015755675,0.000677388,0.005355524
9/30/1947,0.012237084,0.010021046,0.005346494
12/31/1947,0.016399107,-0.039870268,0.005535139
3/31/1948,0.012310865,0.010122251,0.006014997
6/30/1948,0.014793941,0.010095425,0.005879469
9/30/1948,0.013141669,-0.000587063,0.006021037
12/31/1948,0.019488807,0.013990401,0.006070231
3/31/1949,0.01528337,0.020644497,0.005727888
6/30/1949,0.018467662,0.019852957,0.005648593
9/30/1949,0.01548778,0.013336644,0.005380603
12/31/1949,0.025859816,0.00919362,0.005264209
3/31/1950,0.015320953,-0.003198253,0.005276242
6/30/1950,0.018374768,0.003803129,0.005324401
9/30/1950,0.018509343,-0.000337591,0.005324416
12/31/1950,0.028399637,0.000337207,0.005546216
3/31/1951,0.014490438,-0.01735574,0.005572292
6/30/1951,0.01683022,-0.019196013,0.006150565
9/30/1951,0.013059725,0.015686921,0.006259978
12/31/1951,0.019238229,-0.018606195,0.00658941
3/31/1952,0.01343765,0.015335621,0.006661732
6/30/1952,0.017028658,0.013967928,0.006416662
9/30/1952,0.011514152,-0.021820128,0.006577352
12/31/1952,0.016250532,0.004516906,0.006850544
3/31/1953,0.012195547,-0.016257025,0.00690681
6/30/1953,0.01665662,-0.003405764,0.007553902
9/30/1953,0.011929844,0.033208291,0.007556954
12/31/1953,0.017718855,0.023119978,0.007124852
3/31/1954,0.013193951,0.039131018,0.00697614
6/30/1954,0.013892781,0.017875525,0.006738036
9/30/1954,0.010227177,0.008815104,0.006602474
12/31/1954,0.015576779,0.004538483,0.006676792
3/31/1955,0.009876624,-0.023294534,0.006849559
6/30/1955,0.010638813,-0.000291516,0.007048479
9/30/1955,0.00838698,-0.002600862,0.007404162
12/31/1955,0.012089549,0.013546205,0.007228341
3/31/1956,0.010167138,-0.006921276,0.007110766
6/30/1956,0.009851848,0.013748464,0.007567984
9/30/1956,0.00824601,-0.034358844,0.007704697
12/31/1956,0.009263808,-0.028809657,0.008399395
3/31/1957,0.0098502,0.034674314,0.008015272
6/30/1957,0.010304706,-0.041979692,0.008350092
9/30/1957,0.009116293,0.003658509,0.009430457
12/31/1957,0.010897813,0.080130161,0.008933464
3/31/1958,0.010211166,0.011748746,0.008006256
6/30/1958,0.009956354,0.002454587,0.007773037
9/30/1958,0.00918728,-0.081028133,0.008695999
12/31/1958,0.009182808,0.007523182,0.009358993
3/31/1959,0.007962019,0.005285744,0.009717253
6/30/1959,0.007858212,-0.011187399,0.010207495
9/30/1959,0.007518539,-0.003812134,0.010479392
12/31/1959,0.008535409,-0.012948977,0.010718061
3/31/1960,0.00870094,0.060901922,0.010847985
6/30/1960,0.008780184,0.015156735,0.010375624
9/30/1960,0.008412177,0.037525686,0.009816936
12/31/1960,0.009506452,0.018247515,0.009732402
3/31/1961,0.007829493,0.005307841,0.009496879
6/30/1961,0.007342024,-0.000652153,0.009617643
9/30/1961,0.007372555,0.012588802,0.009915585
12/31/1961,0.008310655,-0.007436568,0.009748478
3/31/1962,0.007205951,0.034431317,0.010239682
6/30/1962,0.00772371,0.005167774,0.009500913
9/30/1962,0.008851319,0.013744558,0.009850101
12/31/1962,0.010829122,0.014039433,0.009845094
3/31/1963,0.007984397,0.001518489,0.009282554
6/30/1963,0.007946352,0.003007412,0.009780676
9/30/1963,0.007465078,0.005691956,0.010255836
12/31/1963,0.009417493,0.001864355,0.010203478
3/31/1964,0.007434994,0.00123145,0.010391727
6/30/1964,0.007559323,0.016685526,0.01044205
9/30/1964,0.007029176,0.007718138,0.010521685
12/31/1964,0.008878786,0.009034356,0.010498523
3/31/1965,0.007137616,0.01079355,0.010352422
6/30/1965,0.00747796,0.010192202,0.010427959
9/30/1965,0.007390804,-0.002477895,0.010633453
12/31/1965,0.00884033,-0.011259488,0.010889255
3/31/1966,0.007365399,-0.006520507,0.011262941
6/30/1966,0.007925572,-0.013723645,0.011568278
9/30/1966,0.008383725,0.008185916,0.012124608
12/31/1966,0.009953899,0.049249166,0.011793044
3/31/1967,0.008331331,0.012652952,0.011281051
6/30/1967,0.007704302,-0.06306094,0.011695131
9/30/1967,0.0075861,-0.002111787,0.012549118
12/31/1967,0.008386421,-0.040771021,0.013457924
3/31/1968,0.008027475,0.007573026,0.013448648
6/30/1968,0.007794419,0.050679439,0.013662629
9/30/1968,0.007647421,0.018094856,0.013360968
12/31/1968,0.007987315,-0.074591996,0.013697965
3/31/1969,0.007547133,-0.015465647,0.014378321
6/30/1969,0.007569551,0.012801724,0.015770941
9/30/1969,0.008252179,-0.052171188,0.015559906
12/31/1969,0.008140131,0.004387861,0.016732156
3/31/1970,0.008108467,0.049268784,0.016457405
6/30/1970,0.009629005,-0.041780362,0.017340946
9/30/1970,0.010130077,0.053434468,0.017322039
12/31/1970,0.009220389,0.058447226,0.016747577
3/31/1971,0.007937979,0.087806282,0.015355673
6/30/1971,0.007788909,-0.044294919,0.015146612
9/30/1971,0.00788938,0.071562984,0.015717564
12/31/1971,0.009519175,0.016405856,0.014862989
3/31/1972,0.005814949,-0.005800536,0.014660036
6/30/1972,0.00728808,0.023169672,0.01522447
9/30/1972,0.007205435,0.016006402,0.014742819
12/31/1972,0.007460572,0.022585902,0.014638725
3/31/1973,0.006696693,-0.022801908,0.016118781
6/30/1973,0.007720883,-0.008054035,0.017096495
9/30/1973,0.007883423,0.025734588,0.017974472
12/31/1973,0.009164529,-0.005371654,0.017906715
3/31/1974,0.008600235,-0.0395288,0.017522276
6/30/1974,0.009869084,-0.008908416,0.019810243
9/30/1974,0.011716789,-0.001978136,0.021024501
12/31/1974,0.014004645,0.09843172,0.019982491
3/31/1975,0.011997334,0.008245165,0.019495169
6/30/1975,0.010708674,0.031908124,0.02051772
9/30/1975,0.010237321,-0.025089531,0.020681803
12/31/1975,0.0106127,0.07655068,0.020849708
3/31/1976,0.009449744,0.032043757,0.019818203
6/30/1976,0.009883977,0.006459789,0.019734917
9/30/1976,0.009785746,0.044021611,0.019987625
12/31/1976,0.01096735,0.076641533,0.019086092
3/31/1977,0.010228461,-0.034796528,0.018242623
6/30/1977,0.012029816,0.036421647,0.019164028
9/30/1977,0.011701531,0.009771087,0.018839917
12/31/1977,0.013814215,-0.016843792,0.018949447
3/31/1978,0.013120318,-0.009677512,0.019949977
6/30/1978,0.013639276,-0.012487971,0.020905661
9/30/1978,0.012687655,0.025397174,0.020959608
12/31/1978,0.014036411,-0.014526393,0.021396738
3/31/1979,0.01350776,0.018392221,0.021983682
6/30/1979,0.014156061,0.046179457,0.022594959
9/30/1979,0.013649093,-0.024043678,0.021840924
12/31/1979,0.01416634,-0.050148456,0.024939494
3/31/1980,0.013466679,-0.145107763,0.02686024
6/30/1980,0.014732216,0.243647898,0.027524179
9/30/1980,0.013131737,-0.112554321,0.026438956
12/31/1980,0.01213165,0.018033359,0.029925984
3/31/1981,0.012004005,-0.018242927,0.029588821
6/30/1981,0.012534305,-0.010836886,0.031694913
9/30/1981,0.013240387,-0.085957371,0.033639214
12/31/1981,0.013993229,0.147507844,0.033453479
3/31/1982,0.014151802,0.046481251,0.033814856
6/30/1982,0.015718873,0.017677488,0.03372937
9/30/1982,0.015459206,0.202120941,0.032862983
12/31/1982,0.013167975,0.096371491,0.028068564
3/31/1983,0.011872266,0.007198558,0.025983697
6/30/1983,0.0112538,-0.00108705,0.026827281
9/30/1983,0.011318251,0.001366125,0.028953438
12/31/1983,0.01050833,-0.000953477,0.028597346
3/31/1984,0.011171132,-0.009612325,0.029533762
6/30/1984,0.012320737,-0.047566022,0.031578669
9/30/1984,0.011929582,0.135384398,0.031979759
12/31/1984,0.011846876,0.078232016,0.030024891
3/31/1985,0.011017896,0.015551241,0.027489574
6/30/1985,0.010953442,0.131794641,0.028210934
9/30/1985,0.010432967,0.005338939,0.026993099
12/31/1985,0.010445038,0.133389699,0.025847385
3/31/1986,0.009503226,0.197299062,0.022448712
6/30/1986,0.008674856,-0.000336408,0.019602499
9/30/1986,0.008506895,-0.013351987,0.019476065
12/31/1986,0.008563505,0.054528128,0.019910371
3/31/1987,0.007965106,0.013512514,0.019114375
6/30/1987,0.007812255,-0.048100383,0.02071205
9/30/1987,0.007048085,-0.069603607,0.022405261
12/31/1987,0.008443819,0.083831481,0.023407255
3/31/1988,0.008900986,0.039328058,0.021633148
6/30/1988,0.009770802,0.00987662,0.022618265
9/30/1988,0.009171887,0.022814178,0.023198732
12/31/1988,0.009302717,0.021602714,0.022264123
3/31/1989,0.008683506,0.014305739,0.022852532
6/30/1989,0.009429671,0.114785523,0.022213185
9/30/1989,0.008462569,-0.000768115,0.020093074
12/31/1989,0.008429245,0.045387302,0.020147572
3/31/1990,0.008286423,-0.040884734,0.02116443
6/30/1990,0.009622377,0.044005377,0.021987054
9/30/1990,0.008481492,-0.020310124,0.021518464
12/31/1990,0.010208363,0.082407595,0.02251766
3/31/1991,0.008300636,0.019986023,0.019998679
6/30/1991,0.008685123,0.00766971,0.020862023
9/30/1991,0.008222947,0.082193788,0.021318417
12/31/1991,0.008019133,0.072557759,0.019539242
3/31/1992,0.007049126,-0.036565169,0.018846584
6/30/1992,0.007907315,0.046408785,0.019404804
9/30/1992,0.007673687,0.066144419,0.018298623
12/31/1992,0.007318644,0.005311336,0.01819435
3/31/1993,0.006876455,0.06668167,0.017778994
6/30/1993,0.007469212,0.057280586,0.017250008
9/30/1993,0.007149855,0.063916226,0.016096812
12/31/1993,0.006685521,-0.014552493,0.015776646
3/31/1994,0.00656261,-0.059075562,0.016240919
6/30/1994,0.007602794,-0.032964162,0.018244857
9/30/1994,0.007230604,-0.006529632,0.018818732
12/31/1994,0.007225058,0.020277191,0.019754863
3/31/1995,0.006745724,0.066398143,0.019400669
6/30/1995,0.007106298,0.112537537,0.01781991
9/30/1995,0.006339125,0.02404249,0.016630081
12/31/1995,0.006084246,0.083750601,0.015764556
3/31/1996,0.005474941,-0.069236177,0.015443834
6/30/1996,0.005816477,-0.002028083,0.017189278
9/30/1996,0.005972111,0.016428967,0.018030116
12/31/1996,0.005360399,0.049304107,0.016719003
3/31/1997,0.004601098,-0.032435735,0.016692894
6/30/1997,0.004957044,0.055631682,0.017677243
9/30/1997,0.004488087,0.061321212,0.016583181
12/31/1997,0.004234163,0.068741154,0.015588425
3/31/1998,0.003853994,0.015208821,0.014548009
6/30/1998,0.003808011,0.044185471,0.014943788
9/30/1998,0.003856322,0.083433203,0.014171658
12/31/1998,0.003783815,-0.015570358,0.013186609
3/31/1999,0.003228214,-0.041246936,0.013591254
6/30/1999,0.003200826,-0.024055253,0.014996588
9/30/1999,0.003269396,-0.004589189,0.015869792
12/31/1999,0.003062552,-0.02258267,0.016201322
3/31/2000,0.00295142,0.088277339,0.016303634
6/30/2000,0.00282991,0.011102266,0.015615564
9/30/2000,0.002814866,0.025357015,0.014954941
12/31/2000,0.002794028,0.076691664,0.014643754
3/31/2001,0.002808603,0.012093315,0.013703279
6/30/2001,0.003173509,-0.019397195,0.01451625
9/30/2001,0.003409865,0.067452897,0.013958776
12/31/2001,0.003691052,-0.021191975,0.013560294
3/31/2002,0.003335596,-0.019260559,0.013423226
6/30/2002,0.003734024,0.062047609,0.014793895
9/30/2002,0.004073618,0.122985972,0.013773446
12/31/2002,0.004962974,0.007435406,0.012496612
3/31/2003,0.004576489,0.008152719,0.011938271
6/30/2003,0.004555843,0.053503873,0.011541186
9/30/2003,0.004367819,-0.033123518,0.012620966
12/31/2003,0.004965394,-0.012104249,0.012660088
3/31/2004,0.00404705,0.056852894,0.01234881
6/30/2004,0.00419317,-0.052190535,0.012665551
9/30/2004,0.004424731,0.065778184,0.012816802
12/31/2004,0.004707175,0.016404069,0.012201338
3/31/2005,0.004472271,0.009592212,0.011652461
6/30/2005,0.004580645,0.08589742,0.011563038
9/30/2005,0.00447167,-0.030351287,0.010972773
12/31/2005,0.005012643,0.014189917,0.01169933
3/31/2006,0.004665225,-0.042768582,0.011453806
6/30/2006,0.004647119,-0.014781037,0.013119349
9/30/2006,0.004817984,0.068304188,0.012703412
12/31/2006,0.005045066,0.004354389,0.011747837
3/31/2007,0.004560063,0.008073004,0.012075289
6/30/2007,0.004563707,-0.02062986,0.012414416
9/30/2007,0.004716761,0.050039501,0.012429247
12/31/2007,0.005018241,0.059946508,0.011981327
3/31/2008,0.005104664,0.034035817,0.011122087
6/30/2008,0.005104147,-0.023737697,0.011319689
9/30/2008,0.005421086,0.03316997,0.011403753
12/31/2008,0.007402842,0.206863702,0.010644708
3/31/2009,0.007040265,-0.060832368,0.008936398
6/30/2009,0.006428348,-0.080530006,0.010001167
9/30/2009,0.005647776,0.043026064,0.01060696
12/31/2009,0.005368623,-0.055206451,0.010192721
3/31/2010,0.005021843,0.011196423,0.010909722
6/30/2010,0.004695528,0.12333273,0.010826794
9/30/2010,0.005291544,0.056375419,0.009009226
12/31/2010,0.005156243,-0.082095956,0.009039214
3/31/2011,0.004809986,-0.009114025,0.010356313
6/30/2011,0.00489548,0.037148026,0.010309883
9/30/2011,0.005079195,0.211756766,0.009183179
12/31/2011,0.006123866,0.020628786,0.006811501
3/31/2012,0.005476726,-0.047073918,0.006431321
6/30/2012,0.005426222,0.092804856,0.006552008
9/30/2012,0.005662449,0.002806001,0.005540669
12/31/2012,0.006342904,-0.00753069,0.005959087
3/31/2013,0.005407227,-0.022257686,0.0066531
6/30/2013,0.005388292,-0.055198458,0.00723967
9/30/2013,0.005378183,-0.019084686,0.008730473
12/31/2013,0.005567883,-0.031550919,0.00873788
3/31/2014,0.00511691,0.069243324,0.008647123
6/30/2014,0.00524293,0.043818231,0.008111215
9/30/2014,0.005137456,0.025010926,0.007599338
12/31/2014,0.005261775,0.090073299,0.00702476
3/31/2015,0.005191738,0.028715226,0.00561448
6/30/2015,0.00510133,-0.069168568,0.006196912
9/30/2015,0.005167009,0.052161485,0.006783861
12/31/2015,0.005607939,-0.013941248,0.00645453
3/31/2016,0.005745468,0.078036407,0.005924344
6/30/2016,0.005503429,0.062105086,0.00549191
9/30/2016,0.005311016,-0.018465183,0.004496719
12/31/2016,0.005622433,-0.094582672,0.00560005
3/31/2017,0.0051529,0.014023055,0.006834888
6/30/2017,0.005110794,0.02953551,0.006638607
9/30/2017,0.005061597,0.005054003,0.006297444
12/31/2017,0.005029075,0.012496099,0.006408531
3/31/2018,0.004645414,-0.028640685,0.006947112
6/30/2018,0.004909076,-0.000897451,0.007290829
9/30/2018,0.004921291,-0.050050202,0.007271523
12/31/2018,0.005066766,0.07855687,0.008535249
3/31/2019,0.005346229,0.043435034,0.007016127
6/30/2019,0.004959492,0.050482855,0.006452747
9/30/2019,0.005033754,0.061533826,0.0055083
12/31/2019,0.005078703,-0.036076166,0.005019862
3/31/2020,0.004641183,0.196010302,0.00475752
6/30/2020,0.005205517,0.000677246,0.002796002
9/30/2020,0.004335745,0.000756365,0.002773051
12/31/2020,0.004322425,-0.026058542,0.003167931
3/31/2021,0.003886071,-0.116113611,0.004162712
6/30/2021,0.003577678,0.05302981,0.005347699
9/30/2021,0.003484991,0.001234447,0.004509658
12/31/2021,0.003529084,0.01497955,0.004744678
3/31/2022,0.003617553,-0.089716013,0.00534286
6/30/2022,0.003916737,-0.103663336,0.007726667
9/30/2022,0.004049371,-0.091893239,0.008586348
12/31/2022,0.004595032,-0.002332312,0.010484101
3/31/2023,0.004461996,0.055544748,0.010074683
